STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 96.0
Launch Date (YYYYMMDD)           : 20090731
Launch Time (UTC)                : 23:42
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1008.830	293.015	82.174	2.591	25.686	0.118	9000.000	9000.000	9000.000	9000.000	292.282	322.810	12.30368
0.2	997.157	292.048	86.408	2.500	25.071	0.355	9000.000	9000.000	9000.000	9000.000	292.285	322.899	12.29669
0.3	985.574	291.055	89.316	2.584	26.220	0.606	9000.000	9000.000	9000.000	9000.000	292.263	322.384	12.05739
0.4	974.130	290.069	91.963	2.500	25.664	0.831	9000.000	9000.000	9000.000	9000.000	292.242	321.765	11.77712
0.5	962.808	289.042	96.692	2.500	25.966	1.053	9000.000	9000.000	9000.000	9000.000	292.180	321.637	11.71110
0.6	951.535	288.227	99.808	2.500	26.274	1.294	9000.000	9000.000	9000.000	9000.000	292.335	321.591	11.59084
0.7	940.454	287.473	100.000	2.500	26.583	1.525	9000.000	9000.000	9000.000	9000.000	292.545	320.855	11.17743
0.8	929.362	286.712	100.000	2.440	26.257	1.750	9000.000	9000.000	9000.000	9000.000	292.757	320.083	10.75118
0.9	918.376	286.014	97.880	2.400	26.133	1.970	9000.000	9000.000	9000.000	9000.000	293.036	318.966	10.16603
1.0	907.542	285.421	93.644	2.400	26.445	2.189	9000.000	9000.000	9000.000	9000.000	293.419	317.622	9.45504
1.1	896.764	284.893	97.574	2.400	26.763	2.413	9000.000	9000.000	9000.000	9000.000	293.874	318.589	9.62142
1.2	886.207	284.652	100.000	2.400	27.082	2.631	9000.000	9000.000	9000.000	9000.000	294.618	319.927	9.81862
1.3	875.762	284.550	100.000	2.400	27.405	2.866	9000.000	9000.000	9000.000	9000.000	295.508	321.036	9.86882
1.4	865.347	284.297	98.735	2.373	27.427	3.092	9000.000	9000.000	9000.000	9000.000	296.253	321.420	9.69484
1.5	855.062	284.026	93.111	2.300	26.899	3.302	9000.000	9000.000	9000.000	9000.000	296.980	320.643	9.08271
1.6	844.839	284.027	83.386	2.361	27.952	3.526	9000.000	9000.000	9000.000	9000.000	298.001	319.541	8.23695
1.7	834.800	283.650	81.200	2.400	28.750	3.755	9000.000	9000.000	9000.000	9000.000	298.620	319.385	7.91201
1.8	824.898	283.839	57.489	2.498	30.280	3.999	9000.000	9000.000	9000.000	9000.000	299.837	314.972	5.74194
1.9	814.994	284.439	34.736	2.889	35.445	4.288	9000.000	9000.000	9000.000	9000.000	301.506	311.202	3.65869
2.0	805.358	284.354	22.962	3.258	40.463	4.594	9000.000	9000.000	9000.000	9000.000	302.439	308.927	2.43255
2.1	795.623	283.766	20.386	3.461	43.508	4.932	9000.000	9000.000	9000.000	9000.000	302.861	308.498	2.10279
2.2	786.130	283.076	19.000	3.600	45.794	5.260	9000.000	9000.000	9000.000	9000.000	303.160	308.257	1.89203
